,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0,0.8382458686828613,0.9226197004318237,0.4027540981769562,0.9536101818084717,0.8222580552101135,0.743048906326294,0.5,3.282317876815796,0.743048906326294,1.0,0.0010000000474974513
1,0.8986340761184692,0.9614901542663574,0.29689082503318787,0.9731354117393494,0.8880645036697388,0.743048906326294,0.5,3.2747812271118164,0.743048906326294,1.0,0.0010000000474974513
2,0.9053438901901245,0.967628538608551,0.2748866081237793,0.9753954410552979,0.8951612710952759,0.46212849020957947,0.5958882570266724,0.9925774931907654,0.8566666841506958,0.3316129148006439,0.0010000000474974513
3,0.9161275029182434,0.9738380312919617,0.24944250285625458,0.9777623414993286,0.9077419638633728,0.7411313652992249,0.79523104429245,0.5772133469581604,0.7600411772727966,0.9522580504417419,0.0010000000474974513
4,0.931943416595459,0.9827497005462646,0.2080157846212387,0.9838488101959229,0.9235484004020691,0.7813997864723206,0.8856620192527771,0.8569822311401367,0.773226797580719,0.9987096786499023,0.0010000000474974513
5,0.9257129430770874,0.9779488444328308,0.22678296267986298,0.9793814420700073,0.9193548560142517,0.5810163021087646,0.6462759375572205,0.9214308261871338,0.8237547874450684,0.5548387169837952,0.0010000000474974513
6,0.9367361664772034,0.9837551712989807,0.19900508224964142,0.9823129177093506,0.9316129088401794,0.3499520719051361,0.6252599954605103,3.3796579837799072,0.9217391014099121,0.1367741972208023,0.0010000000474974513
7,0.9453630447387695,0.9866883754730225,0.18028055131435394,0.9894342422485352,0.9364516139030457,0.25695109367370605,0.5012903213500977,12.124770164489746,0.0,0.0,0.0005000000237487257
8,0.9446441531181335,0.9867815971374512,0.17536456882953644,0.9851200580596924,0.9396774172782898,0.8350910544395447,0.9676166772842407,0.4378998279571533,0.9839486479759216,0.7909677624702454,0.0005000000237487257
9,0.9436855912208557,0.9872600436210632,0.17322534322738647,0.9874106645584106,0.9361290335655212,0.26558005809783936,0.7171280384063721,2.8878111839294434,1.0,0.011612903326749802,0.0005000000237487257
10,0.9439252614974976,0.9887741804122925,0.16924826800823212,0.9870836138725281,0.9367741942405701,0.26174497604370117,0.6658064723014832,4.731830596923828,1.0,0.006451612804085016,0.0005000000237487257
11,0.9559070467948914,0.991088330745697,0.14810700714588165,0.9882786273956299,0.9519354701042175,0.874400794506073,0.9926167726516724,0.3506523668766022,1.0,0.8309677243232727,0.0005000000237487257
12,0.9472801089286804,0.9885419011116028,0.1619335263967514,0.9874746203422546,0.9409677386283875,0.8763183355331421,0.9716682434082031,0.31479373574256897,0.8645598292350769,0.9883871078491211,0.0005000000237487257
13,0.9551880955696106,0.9909002780914307,0.14717230200767517,0.9905692338943481,0.9487096667289734,0.945349931716919,0.9946003556251526,0.16417931020259857,0.9958563446998596,0.9303225874900818,0.0005000000237487257
14,0.9573448300361633,0.9913206100463867,0.13932356238365173,0.9899396300315857,0.9522580504417419,0.9165867567062378,0.9836350083351135,0.24575091898441315,0.9886363744735718,0.8980644941329956,0.0005000000237487257
15,0.9487179517745972,0.9909703135490417,0.15090228617191315,0.9855316281318665,0.9448387026786804,0.473633736371994,0.9448747634887695,1.8015612363815308,1.0,0.2916128933429718,0.0005000000237487257
16,0.9484783411026001,0.9903702139854431,0.15219348669052124,0.9871665239334106,0.9429032206535339,0.8322147727012634,0.9383317232131958,0.5779858231544495,0.8164557218551636,0.9987096786499023,0.0005000000237487257
17,0.9585430026054382,0.9932184219360352,0.12907837331295013,0.9889742732048035,0.9548386931419373,0.9520613551139832,0.9916706085205078,0.15559202432632446,0.9503105878829956,0.9870967864990234,0.0002500000118743628
18,0.9618979096412659,0.992338240146637,0.1339484304189682,0.9900033473968506,0.9583870768547058,0.6538830399513245,0.9749110341072083,1.1163389682769775,1.0,0.5341935753822327,0.0002500000118743628
19,0.9623771905899048,0.9943444728851318,0.12091472744941711,0.9906635284423828,0.9583870768547058,0.46788111329078674,0.930510401725769,1.9490320682525635,1.0,0.28387096524238586,0.0002500000118743628
